PG2,PG3,PG4,PG5,PG6,PG7,PG8,PG9,PG10
3.55297931755134,6.07243584724036,5.33524700288812,5.11480938130463,5.94653954234826,5.02027498098031,6.82337098851743,9.93375888672804,10.1381276043516
2.6461222524637,5.52437883393789,6.06860646485523,4.68243810530676,7.19343051206894,5.80236959569477,6.87394830171139,9.58549035364271,6.84714023240016
2.7858253937343,6.3736735215098,5.92570572338049,5.26622754176274,6.70878881801201,5.66002093804913,5.07208688963704,8.82533944678972,9.2324630200001
3.36029724287029,6.1753079369507,6.38673306372506,4.66361477222343,5.89793548937657,5.89109847072658,5.50366031721612,6.70573351605489,9.63202538070587
2.47484398655374,5.68165780006067,5.14283500001501,3.36653882016976,5.28173716521204,5.177486584966,6.12810079755268,9.19128837745976,11.4623328565635
2.6471069593585,5.65378280550596,6.41931922081938,4.88704581660739,5.63048868532123,4.95025863348211,5.20809279779356,7.26893203901455,10.4414898225273
3.45655704553459,8.32361342866003,5.81659595245673,4.40692452306338,5.38497754945141,5.13349558977347,4.875675438149,6.21425739055697,11.2238848790582
3.02294993090109,6.40523460482864,5.35309393425097,3.70832062819881,7.09902665436595,5.82088268472525,6.09422172545295,7.13884355399851,9.4928755144815
3.41273140663907,7.39960527299363,5.57357353964879,3.61292096909371,5.19278044742394,4.76978597389118,4.76982424760517,7.82487098048882,10.8919600121027
2.84426954520253,7.14159424289585,6.01298571928256,5.21026749971923,6.48953183721808,6.13498533440556,5.9773291579272,9.36358019967487,8.42090707923456
3.06852896719213,6.33787453677849,6.9224246353227,5.38138429647377,7.10577434291735,6.14099911931478,3.70835672403268,8.40107412981221,8.56040240249215
3.26911972771366,5.83142024529861,6.42065984410977,5.16797206556073,6.90552930580782,5.93881324120341,2.34549532240637,10.3254506267362,9.14345258514167
3.44976812576415,6.20927130591031,5.67663569747366,3.88310298398981,4.89555276782547,4.85568892036405,5.32460616503946,10.3352435681565,9.77548836403944
3.06012778321404,5.87486949897518,6.11648549322035,5.38655835694655,7.4015852609142,5.27855721096291,4.56269348601095,8.1643243542228,7.79968180535251
3.13339551950054,6.00796380548314,5.81039579188273,4.29776066197454,5.87769675024107,5.54330017968602,6.66864265070088,9.39891915359869,8.44104109484675
3.44760303502817,7.19492496160448,6.76141643296226,5.06271828742129,6.14788647558909,6.40177682926364,5.24879270586916,8.21234223688831,7.87076512087803
3.06396652396558,6.44073835014848,6.36045693144039,5.10505730884707,6.44119768962368,6.09758744733619,4.17277714350632,7.32374348757347,8.31385465951671
2.67610601357095,7.08253410388811,5.73922317719845,4.18356275526392,5.66711148587154,5.81991773291776,4.78181647595472,7.13845248602617,9.59520315935656
2.76605629053891,5.87280932903125,5.55278967171693,5.5469487263592,7.56076359943908,5.46671415468326,4.55321937830743,8.7603395348024,10.1324065790382
3.07944490312275,5.75762626361646,5.0777122532075,4.22988374467481,6.82748165452551,6.21766817014879,5.86088859164623,9.0232279521816,8.84627207628647
2.79776903974346,6.16646730890764,5.3721792004526,4.14441846887912,5.79586457892942,5.49161366178525,7.35555116802546,7.14978197244503,10.9951745261329
