PG2,PG3,PG4,PG5,PG6,PG7,PG8,PG9,PG10,VM1,VM2,VM3,VM4,VM5,VM6,VM7,VM8,VM9,VM10,class,PG,QG,VM,SF,SSS
3.55297931755134,6.07243584724036,5.33524700288812,5.11480938130463,5.94653954234826,5.02027498098031,6.82337098851743,9.93375888672804,10.1381276043516,1.03204534392531,0.940980424900922,0.986511938260412,0.955642671033104,0.922773843677694,0.97561267157136,1.02709992928242,1.02997317211957,0.952663993987138,1.04808023670221,0,0,1,1,1,1
2.6461222524637,5.52437883393789,6.06860646485523,4.68243810530676,7.19343051206894,5.80236959569477,6.87394830171139,9.58549035364271,6.84714023240016,1.02287777171115,0.941619863504338,0.986807998803236,0.978671410424489,1.0052255345576,1.01826064745437,1.0291688986025,0.992245732059638,1.03631390731213,1.06553086171954,0,0,1,1,1,1
2.7858253937343,6.3736735215098,5.92570572338049,5.26622754176274,6.70878881801201,5.66002093804913,5.07208688963704,8.82533944678972,9.2324630200001,1.03356033966623,0.942710594475595,0.993055430201235,0.977750017748851,0.987667355168093,0.938129318990784,0.969266971983438,1.02648730413524,1.08477898031213,1.05037921929365,1,1,1,1,1,1
3.36029724287029,6.1753079369507,6.38673306372506,4.66361477222343,5.89793548937657,5.89109847072658,5.50366031721612,6.70573351605489,9.63202538070587,1.04420803426218,0.941444056627276,0.98292754339011,0.98652174934483,0.981617690951692,1.00223674377059,1.03859494575794,1.04500233451949,0.97357501828066,1.04822879280094,1,1,1,1,1,1
2.47484398655374,5.68165780006067,5.14283500001501,3.36653882016976,5.28173716521204,5.177486584966,6.12810079755268,9.19128837745976,11.4623328565635,1.02875351663567,0.937779977270251,0.989455964858378,0.980908340235643,0.952611729648562,0.987141289413288,1.03571634168321,1.0291560269737,0.974113304397183,1.03846474250006,0,0,1,1,1,1
2.6471069593585,5.65378280550596,6.41931922081938,4.88704581660739,5.63048868532123,4.95025863348211,5.20809279779356,7.26893203901455,10.4414898225273,1.05795821630873,0.938874960891558,0.973492831202862,1.00942251356882,0.987310570502998,1.03314530604495,1.028920830725,1.03247079085507,1.02579255578492,1.04545483930419,1,1,1,1,1,1
3.45655704553459,8.32361342866003,5.81659595245673,4.40692452306338,5.38497754945141,5.13349558977347,4.875675438149,6.21425739055697,11.2238848790582,1.04508073179076,0.939142735272999,0.977003863820973,1.00287784113443,1.00184029857081,1.02685701497745,1.00743473883437,1.01797879365671,0.966498473946007,1.05528294383938,0,0,1,1,1,1
3.02294993090109,6.40523460482864,5.35309393425097,3.70832062819881,7.09902665436595,5.82088268472525,6.09422172545295,7.13884355399851,9.4928755144815,1.05111162673727,0.941314485643016,0.97644101573408,1.01897666582775,0.956448431843843,0.996922832024615,0.967524644671458,1.02782045613034,1.04259500794889,1.0760724115265,1,1,1,1,1,1
3.41273140663907,7.39960527299363,5.57357353964879,3.61292096909371,5.19278044742394,4.76978597389118,4.76982424760517,7.82487098048882,10.8919600121027,1.0634018675441,0.940507204844958,0.976434015946986,0.967874522086463,0.971659835772184,1.0515557469492,1.06742968027114,1.04627004035687,1.02337716917772,1.04878672239649,0,1,1,1,1,0
2.84426954520253,7.14159424289585,6.01298571928256,5.21026749971923,6.48953183721808,6.13498533440556,5.9773291579272,9.36358019967487,8.42090707923456,1.04601472211695,0.943531454612007,0.990394122476225,1.00012221771217,0.968262770927592,1.01175626723625,1.01413666601012,1.03763616800632,1.03693903465558,1.04341647724879,0,0,1,1,1,1
